
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 15)","('loss_tr', 1.0819689012790257)","('acc1_tr', 0.2904000060260296)","('acc2_tr', 0.3603333405405283)","('acc_y_tr', 0.3295333397388458)","('loss_val', 1.0945702136402662)","('acc_val', 0.273400005325675)","('acc2_val', 0.34093334153294563)","('accy__val', 0.3120666736364365)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 16)","('loss_tr', 1.0816509377055699)","('acc1_tr', 0.29200000554323197)","('acc2_tr', 0.35460000701248645)","('acc_y_tr', 0.31886667422950266)","('loss_val', 1.0878621152825887)","('acc_val', 0.2846000063419342)","('acc2_val', 0.35593334041535857)","('accy__val', 0.32073333986103536)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 17)","('loss_tr', 1.072833957248264)","('acc1_tr', 0.3107333406060934)","('acc2_tr', 0.3714666743576527)","('acc_y_tr', 0.34393334068357945)","('loss_val', 1.0968342877107198)","('acc_val', 0.27720000587403776)","('acc2_val', 0.35033334061503413)","('accy__val', 0.31246667474508283)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 18)","('loss_tr', 1.0721877903724246)","('acc1_tr', 0.31033333964645865)","('acc2_tr', 0.3669333412498236)","('acc_y_tr', 0.3422000074386597)","('loss_val', 1.084500304708534)","('acc_val', 0.29360000617802146)","('acc2_val', 0.36106667466461656)","('accy__val', 0.3275333395600319)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 19)","('loss_tr', 1.0678882810316617)","('acc1_tr', 0.31440000630915166)","('acc2_tr', 0.3716000067442656)","('acc_y_tr', 0.34506667412817477)","('loss_val', 1.0804519717670018)","('acc_val', 0.3028666735440493)","('acc2_val', 0.3643333404511213)","('accy__val', 0.33853334054350853)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 20)","('loss_tr', 1.0603292196889453)","('acc1_tr', 0.3290000067651272)","('acc2_tr', 0.3817333414405584)","('acc_y_tr', 0.35700000792741776)","('loss_val', 1.0898806249819333)","('acc_val', 0.28460000656545165)","('acc2_val', 0.36093334019184115)","('accy__val', 0.3206000073999167)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 21)","('loss_tr', 1.0596525263443524)","('acc1_tr', 0.3277333400398493)","('acc2_tr', 0.3832666748762131)","('acc_y_tr', 0.35853334024548533)","('loss_val', 1.0963329384222562)","('acc_val', 0.2791333395987749)","('acc2_val', 0.3582000084221363)","('accy__val', 0.31853334084153173)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 22)","('loss_tr', 1.0501618616900976)","('acc1_tr', 0.33993334032595157)","('acc2_tr', 0.39546667620539666)","('acc_y_tr', 0.3794000086188316)","('loss_val', 1.0810902628384167)","('acc_val', 0.3070000060647726)","('acc2_val', 0.38346667438745496)","('accy__val', 0.38273334085941313)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 23)","('loss_tr', 1.0238653837504919)","('acc1_tr', 0.3906000082194805)","('acc2_tr', 0.42733334228396413)","('acc_y_tr', 0.42593334257602694)","('loss_val', 1.0193701543241078)","('acc_val', 0.4086666754633188)","('acc2_val', 0.43606667570769786)","('accy__val', 0.4362000089138746)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 24)","('loss_tr', 0.9915205766065651)","('acc1_tr', 0.42906667485833166)","('acc2_tr', 0.4432000114768744)","('acc_y_tr', 0.4432000114768744)","('loss_val', 0.9960654641099507)","('acc_val', 0.430733343064785)","('acc2_val', 0.4485333450883627)","('accy__val', 0.4487333450466394)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 25)","('loss_tr', 0.9824754087522561)","('acc1_tr', 0.4401333436369896)","('acc2_tr', 0.451266677826643)","('acc_y_tr', 0.4514666777849197)","('loss_val', 0.9876162322352464)","('acc_val', 0.447666676864028)","('acc2_val', 0.467800010740757)","('accy__val', 0.467800010740757)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 26)","('loss_tr', 0.9416743699975544)","('acc1_tr', 0.483866678327322)","('acc2_tr', 0.4922000123560429)","('acc_y_tr', 0.4922000123560429)","('loss_val', 0.978968684254461)","('acc_val', 0.4511333454400301)","('acc2_val', 0.47140000969171525)","('accy__val', 0.47140000969171525)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 27)","('loss_tr', 0.9497248080654676)","('acc1_tr', 0.47033334374427793)","('acc2_tr', 0.47873334303498266)","('acc_y_tr', 0.47873334303498266)","('loss_val', 0.9765782244144018)","('acc_val', 0.45500001072883606)","('acc2_val', 0.4656666769087315)","('accy__val', 0.4656666769087315)"
"moded,last","('lr', 1e-05)","('backbone', 'CNNEncoder')","('epoch', 28)","('loss_tr', 0.9362521659679942)","('acc1_tr', 0.48833334773778914)","('acc2_tr', 0.4928666786849499)","('acc_y_tr', 0.4928666786849499)","('loss_val', 0.9512782968788678)","('acc_val', 0.4750000111758709)","('acc2_val', 0.49246667832136154)","('accy__val', 0.49246667832136154)"
